회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
주식회사온품,[2025 대한민국 채용박람회 오프라인 참여 기업]- [온품] RF...,"연봉 5,000 만원 ~ 6,000 만원",경력3년,"대졸(4년)
														 ~ 박사",주5일,서울특별시 영등포구 당산로49길,2025-04-30,2025-03-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
아이씨티웨이㈜,SI사업 및 ICT사업 프로젝트 매니저(PM) 채용 공고,회사내규에 따름,경력12년,대졸(2~3년),주5일,서울 구로구,2025-05-09,2025-03-10,D-28,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
콘센트릭스서비스코리아(유),[Catalyst]개발 분석가 (Development Analyst...,회사내규에 따름,경력3년,학력무관,주5일,서울 강서구,2025-04-30,2025-03-10,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜웹젠,2025년 웹젠 수시채용,회사내규에 따름,신입/경력,학력무관,주5일,경기 성남시 분당구 등,2025-05-09,2025-03-10,D-28,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜웅진,콜센터 CTI 시스템 개발 및 운영인력 채용,회사내규에 따름,경력무관,학력무관,주5일,서울 중구  등,2025-04-30,2025-03-08,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 유유랑컴퍼니,C# 프로그래머(신입) 해외 출장 가능자,"연봉 3,200 만원 ~ 3,200 만원",신입,학력무관,주5일,충청남도 아산시 염치읍,2025-05-06,2025-03-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사에이투지시스템,에이투지시스템 개발자 구인,"연봉 2,600 만원 ~ 5,000 만원",경력5년,학력무관,주5일,광주광역시 북구 첨단과기로,2025-05-06,2025-03-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사콘트로하에츠(KontroHaets),AMR/AGV 개발자 과장급 모집공고,"연봉 3,800 만원 ~ 8,000 만원",경력5년,학력무관,주5일,경기도 성남시 중원구,2025-05-05,2025-03-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜래피젠,"(주)래피젠 의료장비개발팀(SW/HW/FW/기구설계), 재경팀 채용",회사내규에 따름,신입/경력,학력무관,주5일,경기 수원시 권선구 등,2025-05-06,2025-03-07,D-25,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)롤링씨드,2D 미니게임 클라이언트 개발 구인 (경력),회사내규에 따름,경력3년,학력무관,,서울 강서구,등록일 : 2025-03-07,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,기타
㈜라이브러리컴퍼니,플랫폼사업팀 (백엔드 개발자) 모집,회사내규에 따름,신입/경력,학력무관,주5일,서울 서초구,2025-05-06,2025-03-07,D-25,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
삼광랩트리,[삼광랩트리] 2025년 전산팀 신입/경력 채용,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 서초구,등록일 : 2025-03-07,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
(주)디에이치라이팅 2공장,[2025 대한민국 채용박람회 오프라인 참여기업]  임배디드 소프트...,"연봉 4,000 만원 ~ 5,000 만원",경력4년,대졸(4년),주5일,인천광역시 서구 첨단기술로,2025-05-05,2025-03-06,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 프로닉스,미래 기술을 함께 만들어갈 개발자를 찾습니다!,월급 250 만원 이상,경력무관,"대졸(2~3년)
														 ~ 박사",주5일,경기도 파주시 회동길,2025-05-05,2025-03-06,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사베스트씨피알,기업부설연구소 연구원 S/W개발자,월급 250 만원 이상,경력무관,"대졸(4년)
														 ~ 석사",주5일,경기도 화성시 동탄기흥로,2025-05-05,2025-03-06,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타 개발자
주식회사 와이매틱스 도곡지점,「2025 대한민국 채용박람회 온라인 참여 기업] 백엔드 개발자 1...,"연봉 3,000 만원 ~ 5,000 만원",경력무관,"대졸(4년)
														 ~ 박사",주5일,서울특별시 강남구 남부순환로351길,2025-05-04,2025-03-06,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
유니닥스주식회사,유니닥스(주) AI개발자 장애인전형 채용,"연봉 2,600 만원 ~ 4,000 만원",신입,학력무관,주5일,서울특별시 구로구 디지털로,2025-04-25,2025-03-06,D-14,https://www.work24.go.kr/wk/static/images/logo/work24.png,AI개발자
슈프리마,[슈프리마] FW 개발자 모집(육아휴직 대체),회사내규에 따름,경력5년,대졸(4년),주5일,경기 성남시 분당구 등,2025-05-05,2025-03-06,D-24,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜쓰리탑,JAVA웹개발자 모집(경력)-대형 이커머스 구축 전문기업,회사내규에 따름,경력5년,대졸(2~3년),주5일,서울 성동구  등,2025-05-05,2025-03-06,D-24,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜휴먼비젼,[여의도역/금융/캐피탈] IT지원부 경력직(과/차장급) 채용,"연봉 6,000 만원 ~ 7,000 만원",경력,학력무관,주5일,서울 영등포구,2025-05-05,2025-03-06,D-24,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
슈프리마,[슈프리마]  Embedded SW Engineer 모집(Andro...,회사내규에 따름,경력3년,대졸(4년),주5일,경기 성남시 분당구 등,2025-05-05,2025-03-06,D-24,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 아이시에스소프트,공장 자동제어 개발자 및 프로그램 테스트 직원을 구합니다.,"연봉 3,000 만원 이상",신입,대졸(4년),주5일,충청북도 청주시 서원구,2025-04-15,2025-03-05,D-4,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
지메이커주식회사,웹  프로그래머 정규직 채용,"연봉 3,000 만원 ~ 7,000 만원",경력무관,학력무관,주5일,서울특별시 금천구 벚꽃로,2025-05-04,2025-03-05,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
코모로,소트트웨어 개발자 모집,"연봉 3,000 만원 ~ 5,000 만원",경력3년,"대졸(4년)
														 ~ 석사",주5일,경기도 과천시 과천대로7길,2025-05-04,2025-03-05,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)헤렌,[2025 대한민국 온라인 박람회 참가기업] 백엔드 개발자 모집,"연봉 3,200 만원 ~ 7,000 만원",경력3년,학력무관,주5일,서울특별시 성동구 성수일로8길,2025-05-04,2025-03-05,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 도우인시스,[2025 대한민국 채용박람회 온라인 참여 업체](주)도우인시스 M...,"연봉 4,000 만원 ~ 5,000 만원",경력4년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,충청북도 청주시 흥덕구,2025-04-30,2025-03-05,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 캐디안,"[2025 대한민국 채용박람회 오프라인 참여업체] CAD, BIM,...","연봉 4,000 만원 ~ 7,000 만원",경력3년,"대졸(4년)
														 ~ 석사",주5일,서울특별시 금천구 가산디지털2로,2025-04-15,2025-03-05,D-4,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜웨이투텍,임베디드 AI 소프트웨어 개발자 채용 공고,회사내규에 따름,경력무관,대졸(4년),주5일,경기 성남시 분당구 등,등록일 : 2025-03-05,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
주식회사 찰리컴퍼니,"홈페이지개발, 사무업무 가능자 모집합니다.(인턴지원금희망업체/채용대...",월급 209 만원 ~ 220 만원,경력무관,대졸(4년),주5일,경기도 시흥시 경기과기대로,2025-05-03,2025-03-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
(주)세아씨엔티,"PC 응용프로그램 개발-관리 C#,VB 채용공고","연봉 4,000 만원 이상",경력5년,학력무관,주5일,광주광역시 광산구 하남산단천변우로,2025-05-03,2025-03-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
네이처아이 주식회사,웹개발 및 응용소프트웨어 개발자 모집,"연봉 3,600 만원 ~ 7,000 만원",경력3년,학력무관,주5일,대구광역시 동구 동대구로,2025-05-03,2025-03-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)두비스,"[2025 대한민국 채용박람회 온라인 참여 기업], (주)두비스 경...",월급 500 만원 이상,경력5년,대졸(4년),주5일,서울특별시 마포구 월드컵로8길,2025-05-03,2025-03-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사메인아이티,영상관제 기술엔지니어,"연봉 4,000 만원 ~ 4,500 만원",경력3년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,서울특별시 구로구 디지털로33길,2025-04-27,2025-03-04,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,엔지니어
㈜세종분석연구원,입찰분석연구원 외 각 부문별 신입 및 경력사원 모집,회사내규에 따름,신입/경력,학력무관,주5일,서울 마포구,2025-05-03,2025-03-04,D-22,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,연구원
트랜스코스모스코리아,[트랜스코스모스/여의도] 당사 CX개발1부 RPA프로세스 개발 담당...,"연봉 3,100 만원 ~ 3,100 만원",신입/경력,학력무관,주5일,서울 영등포구  등,2025-05-03,2025-03-04,D-22,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
대상정보기술㈜,[대상정보기술] 각 부문별 신입ㆍ경력 채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 광진구,2025-05-04,2025-03-04,D-23,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜디자인코코,개발자 긴급구함 (DB구축과 다수 기업쇼핑몰 개발 유경험자 찾아요),"연봉 5,000 만원 ~ 7,000 만원",경력5년,대졸(2~3년),주5일,서울 영등포구,등록일 : 2025-03-03,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜범강,"(주)범강 비서, 관리 인원채용   /  개발 설계 채용  (신입/...",회사내규에 따름,경력3년,대졸(2~3년),주5일,경기 성남시 수정구 등,2025-04-11,2025-03-01,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 페이브,의류 관련 빅데이터 정보수집,월급 300 만원 ~ 400 만원,경력무관,학력무관,주5일,강원특별자치도 원주시 학성길,2025-04-26,2025-02-28,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜푸드테크,(주)푸드테크 IT부문 웹개발자 채용,회사내규에 따름,경력5년,학력무관,주5일,서울 강남구  등,등록일 : 2025-02-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
(주)상상력집단,[AI 정부과제 기획자] 입찰·기획 전문가 : 개발 경험 우대,회사내규에 따름,경력,대졸(4년),주5일,서울 서초구,등록일 : 2025-02-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜비즈마켓,ASP.NET C# 개발자 모집,회사내규에 따름,경력2년,대졸(2~3년),주5일,서울 용산구,2025-04-29,2025-02-28,D-18,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
샘표식품㈜,2025 샘표식품 각 부문 수시채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 중구  등,등록일 : 2025-02-28,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)라온인터렉티브,(주)라온인터렉티브와 함께 성장할 PHP/JAVA 개발자 모집,"연봉 3,500 만원 ~ 4,000 만원",경력4년,학력무관,주5일,경기도 부천시 원미구,2025-04-26,2025-02-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
딥세일즈(주),[2025 대한민국 채용박람회 온라인 참여 기업] 프론트엔드 개발자...,"연봉 2,600 만원 ~ 4,000 만원",경력무관,대졸(4년),주5일,서울특별시 강남구 영동대로85길,2025-04-25,2025-02-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 씨엔컴즈,정보통신기술자 신/경력자 채용,"연봉 3,000 만원 ~ 6,000 만원",경력,학력무관,주5일,경기도 남양주시 다산순환로,2025-04-25,2025-02-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사하이데이타,"소프트웨어개발자(프로그래머) 모집(창원,구미,대전)","연봉 4,000 만원 이상",경력3년,"대졸(2~3년)
														 ~ 박사",주5일,경상남도 창원시 성산구,2025-04-26,2025-02-27,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜티피씨인터넷,[티피씨인터넷/LIKEY] 안드로이드 개발자 채용,회사내규에 따름,신입/경력,고졸,주5일,서울 강남구,등록일 : 2025-02-27,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜포이시스,[본사] Java / Python 활용 / 금융솔루션 개발자 채용 ...,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 금천구,2025-04-28,2025-02-27,D-17,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
(주)티지에스컨설팅,소프트웨어 프로그램개발자(C#/MSSQL) ERP/MES 경력자우대,"연봉 2,520 만원 ~ 6,000 만원",경력2년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,부산광역시 해운대구 해운대해변로,2025-04-25,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
오직주식회사,[2025 대한민국 온라인 채용박람회 참여기업] 웹서비스 개발자(7...,"연봉 5,000 만원 이상",경력7년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,서울특별시 금천구 가산디지털2로,2025-04-25,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
하드콘 주식회사,장비제어 / 자동제어 / 머신비전 / 딥러닝비전 / 영상처리 / C...,"연봉 2,800 만원 ~ 4,000 만원",경력무관,학력무관,주5일,서울특별시 금천구 가산디지털1로,2025-04-24,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사티지에스,IT프로그래머 모집,"연봉 2,520 만원 ~ 6,000 만원",경력2년,"대졸(2~3년)
														 ~ 석사",주5일,부산광역시 해운대구 해운대해변로,2025-04-25,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
유한회사 이티컴파니,앱 개발 소프트웨어 개발자 신규 채용 - 혁신적인 서비스를 함께 만...,월급 210 만원 ~ 220 만원,경력무관,학력무관,주5일,전북특별자치도 익산시 서동로,2025-04-25,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사브로넥스,JAVA Spring Framework 개발자 채용공고 (신입 / ...,"연봉 3,200 만원 이상",경력무관,학력무관,주5일,경기도 수원시 영통구,2025-04-24,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
세인텍,응용 소프트웨어 개발자 모집(신입),"연봉 3,000 만원 ~ 3,400 만원",신입,학력무관,주5일,경상북도 포항시 남구,2025-04-25,2025-02-26,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)이지메디컴,[이지메디컴] IT연구소 물류시스템 개발자 채용,회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 강남구,등록일 : 2025-02-26,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
㈜코리아인,[여의도/경력자] 나이스평가정보 CB웹서비스 개발자 모집,"연봉 4,000 만원 ~ 4,300 만원",경력2년,고졸,주5일,서울 영등포구,2025-04-17,2025-02-26,D-6,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
(주) 안다미컴퍼니,"java, vue.js 개발자 경력직 모집","연봉 4,000 만원 ~ 6,000 만원",경력5년,학력무관,주5일,서울특별시 금천구 가산디지털2로,2025-04-24,2025-02-25,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 에프엘씨,"반도체 장비 개발자(기구설계, 프로그램, 제어설계자 모집)","연봉 5,500 만원 ~ 9,900 만원",경력무관,학력무관,주5일,충청남도 천안시 서북구,2025-04-24,2025-02-25,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
스마터빌드 주식회사,자바개발 로우코드개발 경력 - 재택병행근무 (팔달새일센터 인턴참여기...,"연봉 2,800 만원 ~ 6,000 만원",경력5년,학력무관,주5일,경기도 수원시 영통구,2025-04-23,2025-02-25,D-12,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사엠아이솔루션,프론트 앱 개발자 및 시스템 개발자,"연봉 2,600 만원 ~ 3,600 만원",경력무관,학력무관,주5일,대전광역시 유성구 테크노1로,2025-04-23,2025-02-25,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
㈜비티엔,(주)비티엔 웹/앱 프로그래머 경력개발자 모집,회사내규에 따름,경력3년,대졸(2~3년),주5일,경기 파주시,2025-04-11,2025-02-25,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
주식회사 온투인,[전산개발] 정규직 채용,회사내규에 따름,경력6년,대졸(4년),주5일,서울 송파구,2025-04-26,2025-02-25,D-15,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
(주)오웬스그룹,[일자리매칭플랫폼] 2025년도 주식회사 오웬스그룹 인사근태시스템 ...,회사내규에 따름,신입/경력3년,학력무관,,서울 성동구,2025-04-24,2025-02-25,D-13,https://www.work24.go.kr/wk/static/images/logo/kosme.png,기타
모나용평 주식회사,2025년 모나용평 전산개발 신입/경력사원 채용,"연봉 3,000 만원 이상",경력무관,학력무관,주5일,강원특별자치도 평창군 대관령면,2025-04-23,2025-02-24,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,시스템 운영
주식회사 케어원,[일자리매칭플랫폼] IT 전산팀 프론트엔드 개발자 모집 (경력 채용...,회사내규에 따름,경력3년,학력무관,,서울,2025-04-23,2025-02-24,D-12,https://www.work24.go.kr/wk/static/images/logo/kosme.png,웹/앱 개발자
㈜로보티즈,[자율주행로봇 배달어플] 로봇관제 시스템 WEB 백엔드 개발자,회사내규에 따름,경력,대졸(4년),주5일,서울 강서구,2025-04-25,2025-02-24,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
주식회사이비즈앤컴,응용소프트웨어&웹 개발자(응용프로그래머) 구인,"연봉 2,520 만원 ~ 2,550 만원",경력1년,학력무관,주5일,서울특별시 금천구 벚꽃로,2025-04-20,2025-02-21,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(수)복지용구의료기,S/W  풀스텍 AI 개발자 1명  순천(한방에 솔루션),월급 240 만원 ~ 450 만원,경력무관,학력무관,주5일,전라남도 순천시 해룡면,2025-04-20,2025-02-21,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,AI개발자
주식회사아이콘스,"응용 프로그래머 모십니다.(C#, 딥런닝 )",월급 250 만원 이상,경력2년,"대졸(2~3년)
														 ~ 석사",주5일,대전광역시 대덕구 대화로106번길,2025-04-19,2025-02-20,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 엠쏜,IT 소프트웨어,"연봉 3,000 만원 이상",경력무관,학력무관,주5일,경상북도 경산시 삼풍로,2025-04-19,2025-02-20,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
웹클릭,신입 코더(웹 퍼블리셔) 모집,월급 210 만원 이상,신입,학력무관,주5일,인천광역시 동구 화수로,2025-04-18,2025-02-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
가후이엔씨주식회사,스마트팩토리 구현을 함께할 인재를 모십니다.,"연봉 3,200 만원 ~ 4,000 만원",신입,"대졸(4년)
														 ~ 석사",주5일,경기도 성남시 중원구,2025-04-17,2025-02-19,D-6,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
메가존클라우드㈜,"ServiceNow 사업부문 채용(Cloud, Consultant)",회사내규에 따름,신입/경력,학력무관,주5일,경기 과천시,등록일 : 2025-02-19,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
아프로코리아,고주파병원의료기기 GUI S/W 경력직을 모집합니다.,회사내규에 따름,경력5년,대졸(2~3년),주5일,경기 군포시,2025-04-20,2025-02-19,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
펜타시큐리티(주),보안 네트워크 개발자 채용,회사내규에 따름,경력7년,학력무관,주5일,서울 영등포구,등록일 : 2025-02-19,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/incruit.png,개발자
(주)성화정보기술,응용소프트웨어 개발자 모집 ( Delphi 개발자 우대 ),"연봉 3,000 만원 ~ 6,000 만원",경력3년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,부산광역시 연제구 중앙대로1226번길,2025-04-17,2025-02-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
양산정보통신(주),SK브로드밴드 협력업체 양산정보통신(주)에서 통신공사 설계 업무를 ...,월급 209 만원 이상,경력무관,학력무관,주5일,경상남도 양산시 물금읍,2025-04-17,2025-02-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
퍼솔켈리코리아 유한회사,[여의도/중국계IT기업] Field Engineer (경력 및 언어...,회사내규에 따름,경력무관,대졸(4년),주5일,서울 영등포구  등,등록일 : 2025-02-18,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)두비스,2025년 (주)두비스 신입직원 채용 공고,월급 265 만원 이상,신입,대졸(4년),주5일,서울특별시 마포구 월드컵로8길,2025-04-15,2025-02-18,D-4,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
드림테크,응용소프트웨어개발자 모집,월급 300 만원 ~ 350 만원,경력3년,학력무관,주5일,서울특별시 성동구 한림말5길,2025-04-14,2025-02-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)주니파워네트웍스,공정관리 신입사원 채용,"연봉 2,800 만원 ~ 3,000 만원",신입,학력무관,주5일,서울특별시 서초구 남부순환로339길,2025-04-16,2025-02-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
세인텍,응용 소프트웨어 개발자 모집(경력직),"연봉 3,500 만원 이상",경력3년,학력무관,주5일,경상북도 포항시 남구,2025-04-17,2025-02-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 인포비정보기술,[대전일자리지원센터] ㈜인포비정보기술_소프트웨어 개발자 모집(JAV...,"연봉 2,582 만원 ~ 2,582 만원",경력무관,학력무관,주5일,대전광역시 서구 문예로,2025-04-16,2025-02-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
유티즌,웹사이트 제작,월급 200 만원 ~ 230 만원,신입,학력무관,주5일,광주광역시 서구 회재로,2025-04-16,2025-02-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
네이처원(Natureone),AI 모델 개발자 모집!,"연봉 3,200 만원 ~ 5,000 만원",경력무관,"대졸(2~3년)
														 ~ 박사",주5일,충청북도 청주시 청원구,2025-04-13,2025-02-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
아이엔에스(INS),웹개발자 구인,월급 233 만원 ~ 250 만원,경력무관,학력무관,주5일,인천광역시 미추홀구 인주대로,2025-04-15,2025-02-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
중고나라,[중고나라] 각 부문 채용 공고,회사내규에 따름,신입/경력,학력무관,,서울 강남구  등,2025-04-18,2025-02-17,D-7,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사앤토스,시스템 개발 인재 채용 공고(소프트웨어 개발),"연봉 2,515 만원 이상",경력무관,학력무관,주5일,경기도 군포시 고산로148번길,2025-04-12,2025-02-14,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
